Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
12/9/2024,"39,959","40,083.00","40,248.00","39,958.70",1.34M,0.11%
11/9/2024,"39,917","40,041.00","40,207.00","39,669.40",1.70M,-0.41%
10/9/2024,"40,083","40,744.00","40,744.00","40,041.30",2.90M,-1.12%
9/9/2024,"40,537","40,661.00","40,950.00","40,413.20",1.45M,-0.51%
6/9/2024,"40,744","40,248.00","40,909.00","40,206.60",2.86M,1.23%
5/9/2024,"40,248","40,289.00","40,909.00","40,165.30",2.30M,-0.51%
4/9/2024,"40,455","40,083.00","40,868.00","39,793.40",2.38M,0.10%
30/08/2024,"40,413","40,950.00","41,074.00","40,413.20",2.18M,-0.81%
29/08/2024,"40,744","40,744.00","41,818.00","40,743.80",2.04M,-0.60%
28/08/2024,"40,992","40,992.00","41,570.00","40,909.10",1.46M,0.00%
27/08/2024,"40,992","41,570.00","41,570.00","40,578.50",5.03M,-1.20%
26/08/2024,"41,488","41,983.00","42,066.00","41,404.90",2.72M,-0.59%
23/08/2024,"41,736","41,488.00","41,983.00","41,404.90",2.75M,0.40%
22/08/2024,"41,570","42,149.00","42,397.00","41,239.70",3.31M,-0.59%
21/08/2024,"41,818","40,868.00","41,983.00","40,537.20",7.47M,2.95%
20/08/2024,"40,620","39,917.00","40,661.00","39,793.40",5.27M,2.61%
19/08/2024,"39,587","39,504.00","40,083.00","39,338.80",2.55M,0.84%
16/08/2024,"39,256","38,636.00","39,711.00","38,636.40",2.88M,1.82%
15/08/2024,"38,554","38,884.00","39,215.00","38,553.70",1.22M,-0.85%
14/08/2024,"38,884","38,678.00","39,463.00","38,677.70",2.06M,0.86%
13/08/2024,"38,554","38,843.00","38,967.00","38,429.70",1.23M,-0.32%
12/8/2024,"38,678","38,595.00","39,132.00","38,429.70",1.64M,0.22%
9/8/2024,"38,595","38,843.00","38,843.00","38,305.80",1.27M,1.52%
8/8/2024,"38,017","38,430.00","38,678.00","37,768.60",1.72M,-0.86%
7/8/2024,"38,347","39,174.00","39,174.00","38,016.50",2.60M,-0.75%
6/8/2024,"38,636","38,347.00","39,380.00","37,892.50",2.19M,1.41%
5/8/2024,"38,099","38,760.00","39,008.00","37,190.10",3.29M,-3.46%
2/8/2024,"39,463","38,430.00","39,463.00","38,429.70",2.38M,2.03%
1/8/2024,"38,678","39,587.00","40,413.00","38,677.70",4.63M,-1.68%
31/07/2024,"39,339","38,843.00","40,000.00","38,760.30",3.83M,1.71%
30/07/2024,"38,678","39,132.00","39,132.00","38,429.70",2.76M,-0.64%
29/07/2024,"38,926","38,306.00","39,050.00","38,305.80",1.26M,1.84%
26/07/2024,"38,223","38,264.00","38,471.00","37,892.50",1.50M,0.54%
25/07/2024,"38,017","38,388.00","38,388.00","37,603.30",1.77M,-0.22%
24/07/2024,"38,099","37,190.00","38,719.00","37,190.10",3.00M,0.22%
23/07/2024,"38,017","39,504.00","39,876.00","36,776.80",4.07M,-3.56%
22/07/2024,"39,421","39,421.00","40,248.00","39,008.30",4.16M,0.00%
19/07/2024,"39,421","40,331.00","40,496.00","39,256.20",3.73M,-1.65%
18/07/2024,"40,083","40,165.00","40,744.00","39,545.40",4.07M,1.04%
17/07/2024,"39,669","39,587.00","41,322.00","39,297.50",9.50M,1.80%
16/07/2024,"38,967","38,678.00","39,917.00","38,429.70",4.94M,1.29%
15/07/2024,"38,471","38,843.00","38,884.00","38,264.40",1.43M,-0.11%
12/7/2024,"38,512","38,760.00","39,008.00","38,223.10",1.74M,-0.43%
11/7/2024,"38,678","39,215.00","39,215.00","38,677.70",1.57M,-0.21%
10/7/2024,"38,760","39,545.00","39,587.00","38,760.30",2.44M,-1.26%
9/7/2024,"39,256","39,256.00","39,669.00","38,760.30",3.11M,1.06%
8/7/2024,"38,843","39,298.00","39,504.00","38,636.40",2.40M,-0.63%
5/7/2024,"39,091","39,132.00","39,835.00","38,925.60",5.59M,0.00%
4/7/2024,"39,091","38,843.00","39,174.00","38,677.70",3.23M,0.21%
3/7/2024,"39,008","38,017.00","39,008.00","37,644.60",5.57M,3.17%
2/7/2024,"37,810","36,570.00","37,851.00","36,404.90",4.37M,4.21%
1/7/2024,"36,281","35,785.00","36,281.00","35,537.20",1.50M,1.50%
28/06/2024,"35,744","36,446.00","36,859.00","35,743.80",2.57M,-1.93%
27/06/2024,"36,446","36,942.00","37,190.00","36,446.30",1.90M,-0.90%
26/06/2024,"36,777","36,570.00","37,025.00","36,363.60",2.04M,0.68%
25/06/2024,"36,529","37,521.00","37,769.00","35,991.70",3.50M,-1.78%
24/06/2024,"37,190","38,017.00","38,306.00","37,190.10",2.36M,-1.32%
